Date of Sale,Address,Postal Code,County,Price (€),Not Full Market Price,VAT Exclusive,Description of Property,Property Size Description
2020-06-26,"1 GANDON PLACE, GANDON PARK, Lucan",,Dublin,370044.05,No,Yes,New Dwelling house /Apartment,
2014-12-19,"72 ST ASSAMS PARK, RAHENY, DUBLIN 5",Dublin 5,Dublin,480000.0,No,No,Second-Hand Dwelling house /Apartment,
2010-02-11,"37 Ivy Hill, Gort Road, Ennis",,Clare,194000.0,No,No,Second-Hand Dwelling house /Apartment,
2018-08-16,"14 TYRCONNELL PLACE, TYRCONNELL RD, INCHICORE DUBLIN 8",Dublin 8,Dublin,275000.0,No,No,Second-Hand Dwelling house /Apartment,
2019-02-27,"7 THE NEST, TUBBERCURRY, SLIGO",,Sligo,75000.0,No,No,Second-Hand Dwelling house /Apartment,
2015-07-14,"7 BRACKEN DR, OLD TRAMORE RD, WATERFORD",,Waterford,132000.0,No,No,Second-Hand Dwelling house /Apartment,
2013-11-15,"6 TOWN WALLS, YOUGHAL, CORK",,Cork,105000.0,No,No,Second-Hand Dwelling house /Apartment,
2018-02-09,"11 Maydenhayes Road, Mornington",,Meath,242290.75,No,Yes,New Dwelling house /Apartment,greater than or equal to 125 sq metres
2020-01-24,"25 THE CRESCENT, CASTLE OAKS, DUBLIN ROAD",,Carlow,295000.0,No,No,Second-Hand Dwelling house /Apartment,
2015-09-30,"51 JOHNSGATE VILLAGE, LIMERICK, CO LIMERICK",,Limerick,54000.0,No,No,Second-Hand Dwelling house /Apartment,
2014-11-17,"16 CAISLEAN RIADA, COOSAN, ATHLONE",,Westmeath,134500.0,No,No,Second-Hand Dwelling house /Apartment,
2014-10-24,"Apartment 3 The Crofton, George's Place Dun Laoire, County Dublin",,Dublin,235241.0,No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
2011-12-21,"2a Liffet Crescent, Lucan",,Dublin,176000.0,No,No,Second-Hand Dwelling house /Apartment,
2017-03-31,"3 WILLBROOK ST, RATHFARNHAM, DUBLIN 14",Dublin 14,Dublin,375000.0,No,No,Second-Hand Dwelling house /Apartment,
2014-04-01,"APT 1, THE COURTHOUSE, CARRICK ON SHANNON",,Leitrim,50000.0,No,No,Second-Hand Dwelling house /Apartment,
2021-01-14,"36 PEMBROKE LANE, BALLSBRIDGE, DUBLIN 4",Dublin 4,Dublin,1600000.0,No,No,Second-Hand Dwelling house /Apartment,
2015-01-24,"19 KILDRUM MEADOWS, KILLEA, DONEGAL",,Donegal,106426.07,No,No,Second-Hand Dwelling house /Apartment,
