Date of Sale (dd/mm/yyyy),Address,Postal Code,County,Price (€),Not Full Market Price,VAT Exclusive,Description of Property,Property Size Description
26/06/2020,"1 GANDON PLACE, GANDON PARK, Lucan",,Dublin,"€370,044.05",No,Yes,New Dwelling house /Apartment,
19/12/2014,"72 ST ASSAMS PARK, RAHENY, DUBLIN 5",Dublin 5,Dublin,"€480,000.00",No,No,Second-Hand Dwelling house /Apartment,
11/02/2010,"37 Ivy Hill, Gort Road, Ennis",,Clare,"€194,000.00",No,No,Second-Hand Dwelling house /Apartment,
16/08/2018,"14 TYRCONNELL PLACE, TYRCONNELL RD, INCHICORE DUBLIN 8",Dublin 8,Dublin,"€275,000.00",No,No,Second-Hand Dwelling house /Apartment,
27/02/2019,"7 THE NEST, TUBBERCURRY, SLIGO",,Sligo,"€75,000.00",No,No,Second-Hand Dwelling house /Apartment,
14/07/2015,"7 BRACKEN DR, OLD TRAMORE RD, WATERFORD",,Waterford,"€132,000.00",No,No,Second-Hand Dwelling house /Apartment,
15/11/2013,"6 TOWN WALLS, YOUGHAL, CORK",,Cork,"€105,000.00",No,No,Second-Hand Dwelling house /Apartment,
09/02/2018,"11 Maydenhayes Road, Mornington",,Meath,"€242,290.75",No,Yes,New Dwelling house /Apartment,greater than or equal to 125 sq metres
24/01/2020,"25 THE CRESCENT, CASTLE OAKS, DUBLIN ROAD",,Carlow,"€295,000.00",No,No,Second-Hand Dwelling house /Apartment,
30/09/2015,"51 JOHNSGATE VILLAGE, LIMERICK, CO LIMERICK",,Limerick,"€54,000.00",No,No,Second-Hand Dwelling house /Apartment,
17/11/2014,"16 CAISLEAN RIADA, COOSAN, ATHLONE",,Westmeath,"€134,500.00",No,No,Second-Hand Dwelling house /Apartment,
24/10/2014,"Apartment 3 The Crofton, George's Place Dun Laoire, County Dublin",,Dublin,"€235,241.00",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
21/12/2011,"2a Liffet Crescent, Lucan",,Dublin,"€176,000.00",No,No,Second-Hand Dwelling house /Apartment,
31/03/2017,"3 WILLBROOK ST, RATHFARNHAM, DUBLIN 14",Dublin 14,Dublin,"€375,000.00",No,No,Second-Hand Dwelling house /Apartment,
01/04/2014,"APT 1, THE COURTHOUSE, CARRICK ON SHANNON",,Leitrim,"€50,000.00",No,No,Second-Hand Dwelling house /Apartment,
14/01/2021,"36 PEMBROKE LANE, BALLSBRIDGE, DUBLIN 4",Dublin 4,Dublin,"€1,600,000.00",No,No,Second-Hand Dwelling house /Apartment,
24/01/2015,"19 KILDRUM MEADOWS, KILLEA, DONEGAL",,Donegal,"€106,426.07",No,No,Second-Hand Dwelling house /Apartment,
22/11/2016,"117 KICKHAM RD, INCHICORE, DUBLIN",Dublin 8,Dublin,"€325,000.00",No,No,Second-Hand Dwelling house /Apartment,
08/06/2017,"AUBURN GROVE HOUSE, AUBURN, MALAHIDE",,Dublin,"€1,350,000.00",No,No,Second-Hand Dwelling house /Apartment,
19/10/2018,"10 PAIRC NA FANA, UNION HALL, CO CORK",,Cork,"€310,000.00",No,No,Second-Hand Dwelling house /Apartment,
30/07/2021,"154 Ardmore Hills, Mullingar",,Westmeath,"€248,950.00",Yes,Yes,New Dwelling house /Apartment,
13/09/2017,"32 SEAFORT AVE, SANDYMOUNT, DUBLIN 4",Dublin 4,Dublin,"€900,000.00",No,No,Second-Hand Dwelling house /Apartment,
08/09/2016,"23 RATHEVAN CLOSE, PORTLAOISE, LAOIS",,Laois,"€99,000.00",No,No,Second-Hand Dwelling house /Apartment,
12/12/2014,"94 EAST AVE, PARKGATE, FRANKFIELD",,Cork,"€275,000.00",No,No,Second-Hand Dwelling house /Apartment,
10/03/2014,"57 Beech Drive, Greenfields",,Waterford,"€83,700.00",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
24/01/2020,"14 GLEANN BEAG, NEWCASTLE, CLONMEL",,Tipperary,"€230,000.00",No,No,Second-Hand Dwelling house /Apartment,
20/07/2011,"1 GLEANNTAN, LOUGHLINSTOWN",,Dublin,"€199,000.00",No,No,Second-Hand Dwelling house /Apartment,
09/04/2013,"'St. Cornelius', Deerpark Road, Athlone",,Westmeath,"€125,000.00",No,No,Second-Hand Dwelling house /Apartment,
18/12/2013,"19 forest glade, portumuna",,Galway,"€99,475.00",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
14/05/2021,"CRIMINAGH, GALWAY",,Galway,"€165,000.00",No,No,Second-Hand Dwelling house /Apartment,
21/04/2017,"36 Hollywoodrath Crescent, Hollystown, Dublin 15",,Dublin,"€263,876.65",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
01/11/2017,"72 A - J.K.L. STREET, EDENDERRY, CO OFFALY",,Offaly,"€50,750.00",No,No,Second-Hand Dwelling house /Apartment,
29/03/2017,"131 AN CAISLEAN, BALLINCOLLIG, CORK",,Cork,"€210,000.00",No,No,Second-Hand Dwelling house /Apartment,
06/04/2018,"56 KILL ABBEY, DEANS GRANGE, DUBLIN",,Dublin,"€640,000.00",No,No,Second-Hand Dwelling house /Apartment,
01/02/2019,"14 NEPHIN VIEW MANOR, BALLINA RD, FOXFORD",,Mayo,"€147,000.00",No,No,Second-Hand Dwelling house /Apartment,
06/12/2010,"11 WARRINGTON MEWS, DONABATE",,Dublin,"€145,374.40",No,Yes,New Dwelling house /Apartment,less than 38 sq metres
24/04/2012,"Valley View, Glasheen, Kinsale",,Cork,"€170,000.00",No,No,Second-Hand Dwelling house /Apartment,
26/04/2019,"6 CHAPEL LANE, KILLALA, CO MAYO",,Mayo,"€109,000.00",No,No,Second-Hand Dwelling house /Apartment,
09/06/2015,"98 ARDILAUN GREEN, MULLINGAR, WESTMEATH",,Westmeath,"€104,000.00",No,No,Second-Hand Dwelling house /Apartment,
07/05/2014,"34 GARDEN VILLAGE, PORTLAOISE, LAOIS",,Laois,"€122,000.00",No,No,Second-Hand Dwelling house /Apartment,
11/04/2011,"65 Woodbrook Crescent, Castleknock, Dublin 15",,Dublin,"€178,000.00",No,No,Second-Hand Dwelling house /Apartment,
02/12/2013,"Ballyduff, Camolin, Enniscorthy",,Wexford,"€177,000.00",No,No,Second-Hand Dwelling house /Apartment,
27/09/2018,"26 THE OAKS, RIDGEWOOD, SWORDS",,Dublin,"€310,000.00",No,No,Second-Hand Dwelling house /Apartment,
17/08/2017,"44 CLONMINCH WOOD, TULLAMORE, OFFALY",,Offaly,"€178,000.00",No,No,Second-Hand Dwelling house /Apartment,
09/02/2018,"36 CHAPELWOOD, KILMUCKRIDGE, WEXFORD",,Wexford,"€152,000.00",Yes,No,Second-Hand Dwelling house /Apartment,
14/08/2018,"APT 10 ROWAN HALL, MILLTOWN ROAD, DUBLIN 6",Dublin 6,Dublin,"€435,000.00",No,No,Second-Hand Dwelling house /Apartment,
14/06/2018,"9 AUBURN GROVE, MALAHIDE, DUBLIN",,Dublin,"€850,000.00",No,No,Second-Hand Dwelling house /Apartment,
